,City Name,Country,Date,Temperature,Latitude,Longitute,Humidity,Cloudiness,Wind Speed
0,San Miguel de Tucumán,AR,1596057541,64.4,-26.82,-65.22,23,89,14.99
1,Hambantota,LK,1596057616,79.59,6.12,81.12,80,86,19.1
2,Loandjili,CG,1596057616,75.2,-4.76,11.86,78,90,9.17
3,Cape Town,ZA,1596057416,57.99,-33.93,18.42,100,75,4.7
4,Hermanus,ZA,1596057547,59.0,-34.42,19.23,79,14,1.01
5,Qasigiannguit,GL,1596057206,44.6,68.82,-51.19,75,20,4.7
6,Cidreira,BR,1596057364,48.04,-30.18,-50.21,70,0,7.0
7,Mataura,NZ,1596057424,48.85,-46.19,168.86,83,100,3.98
8,Jamestown,US,1596057302,75.99,42.1,-79.24,78,90,8.05
9,Severo-Kuril'sk,RU,1596057338,53.74,50.68,156.12,87,96,13.76
10,Hokitika,NZ,1596057478,50.27,-42.72,170.97,84,77,6.44
11,Lebu,CL,1596057471,47.57,-37.62,-73.65,68,100,1.1
12,Rikitea,PF,1596057429,73.0,-23.12,-134.97,81,48,14.25
13,Rostock,DE,1596057618,60.8,54.09,12.14,59,75,11.41
14,Saskylakh,RU,1596057430,50.92,71.92,114.08,73,0,3.69
15,Ushuaia,AR,1596057251,39.2,-54.8,-68.3,92,75,28.86
16,Puerto Ayora,EC,1596057420,75.2,-0.74,-90.35,64,20,21.92
17,Quelimane,MZ,1596057482,68.0,-17.88,36.89,82,0,3.74
18,Provideniya,RU,1596057498,50.0,64.38,-173.3,87,90,6.71
19,Birjand,IR,1596057619,77.0,32.87,59.22,25,0,9.17
20,Santa Marinella,IT,1596057620,78.01,42.03,11.85,56,0,5.1
21,Avarua,CK,1596057446,73.4,-21.21,-159.78,73,59,6.93
22,Riyadh,SA,1596057563,95.0,24.69,46.72,28,45,2.24
23,Hobart,AU,1596057188,46.0,-42.88,147.33,80,40,4.7
24,Kumluca,TR,1596057620,83.71,36.37,30.29,55,0,2.01
25,Busselton,AU,1596057156,46.99,-33.65,115.33,89,74,4.85
26,Albany,US,1596057422,87.01,42.6,-73.97,41,9,7.18
27,Vaini,TO,1596057327,69.8,-21.2,-175.2,77,40,16.11
28,Hamilton,US,1596057546,93.0,39.18,-84.53,46,40,4.7
29,Savonlinna,FI,1596057622,59.0,61.87,28.88,100,75,5.82
30,Nanortalik,GL,1596057502,46.56,60.14,-45.24,89,63,8.9
31,La Peca,PE,1596057622,80.1,-5.61,-78.44,56,28,5.06
32,Atuona,PF,1596057541,79.0,-9.8,-139.03,76,4,20.47
33,Vardø,NO,1596057192,51.8,70.37,31.11,93,40,28.86
34,Jumla,NP,1596057535,61.93,29.27,82.18,71,100,2.91
35,Qaanaaq,GL,1596057464,43.38,77.48,-69.36,68,2,3.02
36,Araouane,ML,1596057623,95.0,18.9,-3.53,33,13,12.1
37,Acapulco de Juárez,MX,1596057447,87.8,16.86,-99.89,74,75,6.93
38,Nikolskoye,RU,1596057425,60.8,59.7,30.79,77,1,4.47
39,Bluff,NZ,1596057422,51.71,-46.6,168.33,79,100,13.67
40,Saint Paul Harbor,US,1596057125,62.6,57.79,-152.41,67,1,5.82
41,Port Alfred,ZA,1596057325,57.65,-33.59,26.89,74,0,13.47
42,Oddur,SO,1596057582,75.04,4.12,43.89,74,3,15.19
43,Punta Arenas,CL,1596057445,39.2,-53.15,-70.92,80,75,11.41
44,Arraial do Cabo,BR,1596057480,73.4,-22.97,-42.03,83,75,12.75
45,Urambo,TZ,1596057625,66.45,-5.07,32.05,43,0,4.12
46,Deputatsky,RU,1596057513,41.9,69.3,139.9,71,41,6.98
47,Klaksvík,FO,1596057553,46.4,62.23,-6.59,87,98,18.34
48,New Norfolk,AU,1596057327,46.0,-42.78,147.06,80,11,1.99
49,Husavik,IS,1596057398,53.6,66.04,-17.34,71,100,10.29
50,Kapaa,US,1596057415,79.0,22.08,-159.32,78,90,16.11
51,Mayo,US,1596057504,91.0,38.89,-76.51,49,1,10.29
52,Bilibino,RU,1596057626,48.83,68.05,166.44,53,87,5.75
53,Manaus,BR,1596057626,91.4,-3.1,-60.02,46,20,5.82
54,Maragogi,BR,1596057627,75.11,-9.01,-35.22,77,97,14.92
55,Panzhihua,CN,1596057627,72.43,26.59,101.71,72,84,0.63
56,Mossamedes,AO,1596057445,64.4,-15.2,12.15,79,100,8.93
57,Coahuayana Viejo,MX,1596057529,71.6,18.73,-103.68,88,90,11.41
58,Menzel Kamel,TN,1596057627,84.2,35.62,10.67,54,0,8.05
59,Tuktoyaktuk,CA,1596057489,50.0,69.45,-133.04,81,75,5.82
60,Bredasdorp,ZA,1596057421,59.0,-34.53,20.04,77,1,9.17
61,Hong Kong,HK,1596057248,81.0,22.29,114.16,88,100,4.0
62,Digby,CA,1596057335,77.0,44.62,-65.77,72,100,13.0
63,Pevek,RU,1596057419,36.9,69.7,170.31,92,100,4.14
64,Geraldton,AU,1596057528,48.2,-28.77,114.6,87,0,11.41
65,Thompson,CA,1596057481,75.2,55.74,-97.86,53,40,10.29
66,Douglas,US,1596057382,75.2,41.3,-96.17,83,40,3.36
67,Amiens,FR,1596057347,62.6,49.9,2.3,59,69,8.05
68,Barrow,US,1596057301,44.6,71.29,-156.79,81,90,25.28
69,Pāsighāt,IN,1596057629,74.93,28.07,95.33,88,100,1.95
70,Biak,ID,1596057452,75.38,-0.91,122.88,84,100,9.62
71,Labuhan,ID,1596057528,73.2,-6.88,112.21,77,99,9.22
72,Maryville,US,1596057630,91.99,35.76,-83.97,49,75,4.7
73,Aklavik,CA,1596057469,53.6,68.22,-135.01,81,75,1.95
74,Suihua,CN,1596057630,67.82,46.64,127.0,92,80,4.56
75,Dikson,RU,1596057472,49.53,73.51,80.55,75,51,9.55
76,Tilichiki,RU,1596057421,53.15,60.47,166.1,94,100,1.92
77,Gurlan,UZ,1596057631,80.6,41.84,60.39,49,12,9.17
78,Sitka,US,1596057449,62.6,57.05,-135.33,77,1,4.7
79,Mount Isa,AU,1596057249,59.0,-20.73,139.5,41,0,10.29
80,Noril'sk,RU,1596057632,57.2,69.35,88.2,71,24,8.95
81,Makkah al Mukarramah,SA,1596057632,86.32,21.43,39.83,53,100,9.22
82,Taltal,CL,1596057572,63.18,-25.4,-70.48,56,79,1.88
83,Hilo,US,1596057436,82.4,19.73,-155.09,58,1,8.05
84,Florence,IT,1596057548,80.6,43.77,11.25,54,0,4.7
85,Narsaq,GL,1596057426,57.2,60.92,-46.05,71,40,10.29
86,Morondava,MG,1596057496,70.92,-20.28,44.28,82,34,8.5
87,Babu,CN,1596057633,77.58,24.42,111.52,83,94,1.97
88,Ubari,LY,1596057634,84.45,26.59,12.78,21,0,7.47
89,Ambulu,ID,1596057634,66.29,-8.35,113.61,82,0,3.85
90,Tiksi,RU,1596057550,39.9,71.69,128.87,87,100,7.2
91,Sinnamary,GF,1596057634,81.59,5.38,-52.95,78,73,12.24
92,Seddon,AU,1596057635,48.0,-37.81,144.89,93,75,5.82
93,Qaqortoq,GL,1596057469,57.2,60.72,-46.03,71,40,10.29
94,Aksu,CN,1596057359,74.41,41.12,80.26,34,42,4.94
95,Malibu,US,1596057635,93.99,34.01,-118.81,85,21,8.01
96,Yangi Marg`ilon,UZ,1596057540,77.0,40.43,71.72,44,0,4.7
97,Sechenovo,RU,1596057636,65.07,55.22,45.89,71,3,9.19
98,Iquitos,PE,1596057636,75.2,-3.75,-73.25,88,75,12.75
99,Bethel,US,1596057476,90.0,41.37,-73.41,55,1,9.17
100,Laem Sing,TH,1596057636,87.01,12.48,102.07,63,100,8.37
101,Millport,GB,1596057637,53.01,55.75,-4.93,84,54,7.76
102,Half Moon Bay,US,1596057486,73.99,37.46,-122.43,82,40,6.93
103,Cabo San Lucas,MX,1596057434,87.01,22.89,-109.91,54,40,13.87
104,Marsh Harbour,BS,1596057637,83.84,26.54,-77.06,73,45,12.17
105,Richards Bay,ZA,1596057449,65.44,-28.78,32.04,81,77,5.1
106,Ampanihy,MG,1596057638,61.09,-24.7,44.75,92,1,3.27
107,Sattahip,TH,1596057638,77.0,12.67,100.9,94,20,4.7
108,Ribeira Grande,PT,1596057329,75.2,38.52,-28.7,88,40,17.22
109,Kiryat Gat,IL,1596057361,82.99,31.61,34.76,57,0,0.92
110,Kruisfontein,ZA,1596057438,51.24,-34.0,24.73,67,0,9.73
111,Cabedelo,BR,1596057508,73.4,-6.98,-34.83,94,75,8.05
112,Kaeo,NZ,1596057560,57.99,-35.1,173.78,3,100,5.99
113,Tokur,RU,1596057639,64.9,53.13,132.9,86,0,2.8
114,Butaritari,KI,1596057437,82.8,3.07,172.79,76,47,17.72
115,Marawi,PH,1596057440,75.0,8.0,124.29,94,100,5.99
116,Tirumullaivāsal,IN,1596057639,79.84,11.23,79.83,74,100,13.73
117,Berdigestyakh,RU,1596057640,52.48,62.1,126.7,92,0,3.91
118,Saint George,US,1596057341,105.01,37.1,-113.58,7,1,9.17
119,Faanui,PF,1596057480,79.34,-16.48,-151.75,78,100,20.07
120,Ostrovnoy,RU,1596057212,49.66,68.05,39.51,89,0,12.37
121,Tuatapere,NZ,1596057426,52.75,-46.13,167.68,77,100,8.9
122,Honningsvåg,NO,1596057641,64.4,70.98,25.97,68,2,12.75
123,Torbay,CA,1596057461,59.0,47.67,-52.73,82,75,6.93
124,Souillac,MU,1596057189,71.6,-20.52,57.52,83,40,10.29
125,Colares,PT,1596057641,70.0,38.8,-9.45,77,20,14.99
126,Mar del Plata,AR,1596057349,51.8,-38.0,-57.56,57,0,5.82
127,Norman Wells,CA,1596057325,60.8,65.28,-126.83,82,90,10.29
128,Okhotsk,RU,1596057641,59.4,59.38,143.3,76,98,18.77
129,Zabid,YE,1596057642,87.71,14.2,43.32,63,90,9.06
130,Yichun,CN,1596057512,64.65,47.7,128.9,91,0,1.83
131,Vila Velha,BR,1596057488,79.0,-20.33,-40.29,73,20,4.7
132,Vostok,RU,1596057503,64.2,46.49,135.88,97,0,2.39
133,Lærdal,NO,1596057643,48.0,61.1,7.48,82,93,3.0
134,Namatanai,PG,1596057643,80.2,-3.67,152.43,79,18,5.88
135,Mindelo,CV,1596057643,80.6,16.89,-24.98,74,75,10.29
136,Nouadhibou,MR,1596057556,71.6,20.93,-17.03,83,0,17.22
137,Zhuhai,CN,1596057644,84.99,22.28,113.57,83,20,10.29
138,Esperance,AU,1596057447,48.2,-33.87,121.9,87,0,12.75
139,Itaperuna,BR,1596057644,72.82,-21.2,-41.89,75,2,9.75
140,Hithadhoo,MV,1596057438,82.11,-0.6,73.08,80,43,16.69
141,Upernavik,GL,1596057342,43.18,72.79,-56.15,88,59,4.68
142,Buba,GW,1596057645,74.61,11.58,-15.0,96,100,6.91
143,Santiago,CL,1596057645,71.6,-33.46,-70.65,18,0,2.13
144,Dongsheng,CN,1596057465,72.9,39.82,109.98,55,100,14.58
145,Laguna,US,1596057504,97.0,38.42,-121.42,27,1,5.82
146,Storforshei,NO,1596057645,64.4,66.4,14.52,68,40,6.93
147,Chara,RU,1596057646,62.91,56.91,118.26,79,92,2.93
148,Kalino,RU,1596057646,59.13,58.25,57.61,96,99,2.71
149,Riberalta,BO,1596057646,90.41,-10.98,-66.1,36,71,4.65
150,Tara,RU,1596057646,46.67,56.89,74.37,94,0,5.14
151,Zarubino,RU,1596057646,66.13,42.63,131.09,97,68,6.11
152,Villamontes,BO,1596057646,65.23,-21.25,-63.5,27,0,6.38
153,Traverse City,US,1596057647,79.0,44.76,-85.62,44,20,6.93
154,Río Gallegos,AR,1596057647,35.6,-51.62,-69.22,80,95,9.17
155,Ashquelon,IL,1596057647,82.99,31.67,34.57,84,0,1.7
156,Opuwo,NA,1596057584,58.68,-18.06,13.84,34,0,8.57
157,Yellowknife,CA,1596057252,75.0,62.46,-114.35,49,75,8.05
158,Weston,US,1596057482,91.99,26.1,-80.4,59,40,11.41
159,Łazy Bledowskie,PL,1596057648,64.0,50.35,19.42,82,61,2.3
160,Iqaluit,CA,1596057323,73.4,63.75,-68.51,40,40,16.11
161,Alice Springs,AU,1596057315,35.6,-23.7,133.88,51,0,4.7
162,Srednekolymsk,RU,1596057536,50.38,67.45,153.68,64,92,10.27
163,Vaitape,PF,1596057648,80.2,-16.52,-151.75,77,100,20.27
164,Saldanha,ZA,1596057449,50.0,-33.01,17.94,87,0,2.24
165,Tasiilaq,GL,1596057451,44.6,65.61,-37.64,70,73,6.93
166,Progreso,MX,1596057453,93.99,21.28,-89.67,55,75,21.92
167,Margate,GB,1596057461,64.0,51.38,1.39,64,69,1.99
168,Eyl,SO,1596057538,78.58,7.98,49.82,75,81,14.94
169,Vao,NC,1596057649,72.07,-22.67,167.48,83,98,26.84
170,Kibondo,TZ,1596057650,63.77,-3.59,30.72,55,0,3.85
171,Kaitangata,NZ,1596057425,48.0,-46.28,169.85,76,100,1.99
172,Kota Kinabalu,MY,1596057483,73.4,5.97,116.07,100,20,3.36
173,Khatanga,RU,1596057433,55.9,71.97,102.5,67,100,11.56
174,Ust-Tsilma,RU,1596057551,48.7,65.44,52.15,75,0,4.97
175,Zakamensk,RU,1596057651,52.23,50.37,103.29,87,15,2.06
176,Hornepayne,CA,1596057651,62.71,49.21,-84.77,75,97,6.4
177,Castro,BR,1596057454,56.43,-24.79,-50.01,97,100,5.26
178,Smithers,CA,1596057264,68.0,54.78,-127.17,45,40,2.24
179,Ivanivka,UA,1596057651,71.76,46.72,34.55,61,0,1.66
180,Sakakah,SA,1596057652,107.6,29.97,40.21,10,40,9.17
181,Tempio Pausania,IT,1596057652,78.8,40.9,9.1,74,0,1.12
182,Basoko,CD,1596057652,73.89,1.24,23.62,87,86,1.81
183,Mount Gambier,AU,1596057446,39.2,-37.83,140.77,93,40,4.7
184,Valverde del Camino,ES,1596057652,77.0,37.58,-6.75,63,0,5.01
185,Loznica,RS,1596057653,72.0,44.53,19.22,88,20,1.12
186,Kulunda,RU,1596057653,55.62,52.57,78.94,84,9,8.41
187,Jacareacanga,BR,1596057653,90.0,-6.22,-57.75,34,15,2.15
188,Ziyang,CN,1596057653,76.48,29.25,117.85,89,100,4.34
189,Egvekinot,RU,1596057653,47.93,66.32,-179.17,96,100,4.59
190,Port Elizabeth,ZA,1596057322,59.0,-33.92,25.57,67,0,10.29
191,Tadine,NC,1596057654,73.27,-21.55,167.88,82,91,19.48
192,Nísia Floresta,BR,1596057654,75.2,-6.09,-35.21,88,40,9.17
193,Pala,TD,1596057654,70.97,9.36,14.9,91,100,8.97
194,Mitsamiouli,KM,1596057503,76.89,-11.38,43.28,82,62,12.35
195,Betioky,MG,1596057655,58.66,-23.72,44.38,92,3,1.95
196,Cherskiy,RU,1596057448,46.4,68.75,161.3,66,18,13.24
197,Manhattan,US,1596057414,93.99,40.78,-73.97,58,1,5.82
198,Guerrero Negro,MX,1596057455,80.78,27.98,-114.06,53,4,15.43
